state,vote
wyoming,rep
west-virginia,rep
north-dakota,rep
oklahoma,rep
idaho,rep
arkansas,rep
kentucky,rep
south-dakota,rep
alabama,rep
texas,rep
tennessee,rep
utah,rep
louisiana,rep
indiana,rep
kansas,rep
montana,rep
missouri,rep
alaska,rep
mississippi,rep
south-carolina,rep
iowa,rep
ohio,rep
florida,rep
new-hampshire,dem
minnesota,dem
virginia,dem
colorado,dem
new-mexico,dem
delaware,dem
new-jersey,dem
oregon,dem
connecticut,dem
illinois,dem
rhode-island,dem
washington,dem
new-york,dem
california,dem
maryland,dem
massachusetts,dem
hawaii,dem
vermont,dem
